Title,Link,Content
"Islamabad : The Pakistan Tourism Development Corporation hosted a reception to honor the remarkable achievement of two Polish women,...1 week ago",https://www.thenews.com.pk/print/1156484-ptdc-hosts-reception-to-honour-two-polish-explorers,"Islamabad : The Pakistan Tourism Development Corporation (PTDC) hosted a reception to honor the remarkable achievement of two Polish women, Monika Witkowska and Joanna Mostowska, who have successfully completed the First Female Winter Ski Traverse of Deosai. Deosai, the second highest plateau in the world after Tibet, witnessed this historic expedition as Monika and Joanna traversed its challenging terrain alone, enduring harsh weather conditions with temperatures dropping as low as minus 25 degrees Celsius. Their ten-day journey from January 27 to February 5, 2024, showcased extraordinary physical endurance and determination, said a news release. Managing Director PTDC Aftab ur Rehman Rana congratulated the duo on their exceptional feat and highlighted the significant impact of their expedition on promoting winter tourism in Pakistan."
"Islamabad : Deputy Commissioner Murree Agha Zaheer Abbas Tuesday said that in view of the snowfall prediction, the Punjab caretaker...1 month ago",https://www.thenews.com.pk/print/1144326-comprehensive-plan-ready-to-tackle-murree-tourist-influx-dc,"Islamabad : Deputy Commissioner (DC) Murree Agha Zaheer Abbas Tuesday said that in view of the snowfall prediction, the Punjab caretaker government with the coordination of the Pakistan Meteorological Department has issued a travel advisory for tourists and prepared a comprehensive plan to tackle visitors by establishing 13 facilitation centres. Talking to a private news channel, he assured that all final arrangements and essential items such as petrol and meals have been arranged for tourists at these centres, underscoring the commitment to ensuring the well-being of visitors during their snowfall experience. The vehicles entering the city were being monitored through digital counting and will limit excessive vehicle moving towards the express highway to Murree, he added."
"We live in a world of brands. The cars we drive, mobile phones we use, outfits and colognes we wear, accessories we carry, and fancy foods...1 month ago",https://www.thenews.com.pk/print/1150094-where-is-brand-pakistan,"We live in a world of brands. The cars we drive, mobile phones we use, outfits and colognes we wear, accessories we carry, and fancy foods we consume are mostly branded. However, the biggest brands in the world are not trillion-dollar companies such as Apple, LVMH, Tesla, Microsoft or Coca Cola, but rather countries. And their brand value matters almost as much as the corporate brands. Insightful estimates of national brands are now being regularly tabulated by specialists such as the UK-based ‘Brand Finance.” Not surprisingly, the US leads the way with the highest national brand value in the world – over $30 trillion. It is closely trailed by China at $23 trillion. Germany at $5 trillion, the UK at $4.8 trillion, Japan at $4.45 trillion, and France at $3.67."
"Pakistan Pavilion has won the “Best In-Show – International Tourism Development” award at the Travel and Adventure Show, 2024, being held in...3 weeks ago",https://www.thenews.com.pk/latest/1152251-award-winning-pakistan-pavilion-shines-at-new-york-travel-event,"  Pakistan Pavilion has won the “Best In-Show – International Tourism Development” award at the Travel and Adventure Show, 2024, being held in New York."
KALAM: Hotels and streets are usually packed with tourists who throng to the picturesque Kalam Valley from across Pakistan to enjoy the...4 weeks ago,https://www.thenews.com.pk/print/1150838-snowless-winter-depriving-northern-pakistan-of-economic-lifeline,"KALAM: Hotels and streets are usually packed with tourists who throng to the picturesque Kalam Valley from across Pakistan to enjoy the snowfall at this time of winter. Usually surrounded by snow-capped mountains in winter, the popular tourist destination, located some 326 kilometers from the capital city of Islamabad, is currently sporting a brown and barren look, as the country’s northern and northwestern parts are yet to receive the first snowfall of this season, foreign media reported. Northwestern Pakistan normally receives moderate to heavy snowfall between the middle of December and end of January, which attracts hundreds of thousands of tourists from every corner of the South Asian country."
Islamabad: The 13th edition of Pakistan Mountain Festival concluded with awarding 28 best mountain development practitioners and...2 months ago,https://www.thenews.com.pk/print/1137747-best-mountain-development-practitioners-awarded,"Islamabad: The 13th edition of Pakistan Mountain Festival concluded with awarding 28 best mountain development practitioners and conservationists with 4th Pakistan Mountains Pride Awards (PAMPA) Monday late evening.  The International Mountain Day flagship events are annually organized by Devcom-Pakistan in collaboration with different partners. The closing ceremony was partnered by Pakistan Tourism Development Corporation (PTDC), National Rural Support Programme (NRSP), Pakistan Poverty Alleviation Fund (PPAF), and Pakistan National Council of the Arts (PNCA). The guests of honour on the occasion included the ambassador of Poland Maciej Pisarski, EvK2CNR cofounder Maurizo Gallo, EvK2CR scientific advisor Ashiq Ahmad Khan, well-known mountaineering icon Nazir Sabir, artist Raja Changez Sultan, and MD Pakistan Tourism Development Corporation Aftab ur Rehman Rana. Italian ambassador Andreas Ferrarese was the chief guest of the photo exhibition “The Colours of the Ice” that was jointly organized by the Italian embassy, Italian Agency for Development Cooperation (AICS), UNDP, EvK2CNR, IUCN and Devcom-Pakistan."
I recently attended the week-long maritime security workshop organized at PN War College under the auspices of the Pakistan Navy.2 months ago,https://www.thenews.com.pk/print/1138326-pakistan-s-blue-economy,"I recently attended the week-long maritime security workshop (MARSEW-6) organized at PN War College under the auspices of the Pakistan Navy. The session concluded yesterday (Dec 14), and I now intend to share my thoughts on the stability of our national economy in the context of the defence services of the Pakistan Navy. Seven decades after Independence, the Pakistan Navy is still considered as one of the most dominant naval forces in the world and references to the Pakistan Navy are occasionally made in the international media."
"ISLAMABAD: The three major political parties, Pakistan Muslim League-Nawaz, Pakistan Peoples Party and Pakistan Tehreek-e-Insaaf have more...3 weeks ago",https://www.thenews.com.pk/print/1153182-comparative-analysis-of-pmln-ppp-pti-manifestos,"ISLAMABAD: The three major political parties, Pakistan Muslim League-Nawaz, Pakistan Peoples Party and Pakistan Tehreek-e-Insaaf have more or less same focus on all sector with different strategies. The comparison of Manifesto of three Political parties,--PML-N, PPP and PTI as under Agriculture sector.  The PML-N in its manifesto pledges for provision of interest free loans for farmer, direct Kisan markets for farmers, use of drone technology for agriculture sector Food Stabilization funds for the Agriculture sector for the stabilization of the prices, Research funds for hybrid seeds, solar tubewells and Increase in production."
"Kakakhel said the British tourists should explore the rich cultural heritage, natural beauty, and historical landmarks in the region. He...3 months ago",https://www.thenews.com.pk/print/1126944-collaboration-with-uk-for-tourism-promotion-discussed,"PESHAWAR: Caretaker KP Minister for Tourism Mian Feroze Jamal Shah Kakakhel met his United Kingdom’s counterpart John Whittingdale on Tuesday at the World Travel Mart event in London and discussed with him collaboration in the field of tourism promotion. A press release said the interaction provided an opportunity for an exchange of ideas and collaboration in the field of tourism promotion. Discussions encompassed various aspects of tourism, including cultural exchange, promoting tourist destinations, and enhancing cooperation between KP and the United Kingdom to share learning experiences. Kakakhel said the British tourists should explore the rich cultural heritage, natural beauty, and historical landmarks in the region. He emphasised the need for mutual cooperation to facilitate smoother travel experiences for tourists from the UK."
Islamabad : All set to kick off a 10-day long 13th edition of Pakistan Mountain Festival to mark the International Mountain Day with the...3 months ago,https://www.thenews.com.pk/print/1130460-13th-pakistan-mountain-festival-to-start-from-dec-2,"Islamabad : All set to kick off a 10-day long 13th edition of Pakistan Mountain Festival to mark the International Mountain Day with the Margalla Hills Trail-3 hiking, cleanup, and mountain biodiversity talk on December 2nd. It would be followed by a live painting competition on the theme “Mountain Ecosystem” at the Fatima Jinnah Women University (FJWU) Rawalpindi on December 4. Other events will include exhibition of paintings, Pakistan Mountain Youth Forum, screening of documentaries, and mountain products and cultural showcasing. Devcom-Pakistan Executive Director Munir Ahmed who is the founder of Pakistan Mountain Festival too, briefing about the series of events said: The festival will conclude with a grand combo of events including a conference on mountain conservation, sustainable tourism and cultural Heritage in the Changing Climate. Other attractions of the grand event will be mountain food stalls, handicrafts, folklore, cultural and musical performances by the troupes from Gilgit, Baltistan, Hunza, Chitral, and Swat. Munir Ahmed said as many as twenty best professionals will be given away 4th Pakistan Mountains Pride Awards (PAMPA) while some will receive Friends of Mountains Awards (FOMA). National Rural Support Programme (NRSP) and Pakistan Poverty Alleviation Fund (PPAF) have consented to support the grand ceremony of awards. The Pakistan Mountains Pride Awards (PAMPA) are dedicated to the five living legends in their fields and given to the best professionals that have devoted their lives for the mountains and its natives."
Tourism has again been identified as a key driver of economic recovery and growth in a new report by the International Monetary Fund (IMF).3 months ago,https://www.unwto.org/news/tourism-s-importance-for-growth-highlighted-in-world-economic-outlook-report,"
Tourism has again been identified as a key driver of economic recovery and growth in a new report by the International Monetary Fund (IMF). With UNWTO data pointing to a return to 95% of pre-pandemic tourist numbers by the end of the year in the best case scenario, the IMF report outlines the positive impact the sector’s rapid recovery will have on certain economies worldwide.
 According to the World Economic Outlook (WEO) Report, the global economy will grow an estimated 3.0% in 2023 and 2.9% in 2024. While this is higher than previous forecasts, it is nevertheless below the 3.5% rate of growth recorded in 2022, pointing to the continued impacts of the pandemic and Russia's invasion of Ukraine, and from the cost-of-living crisis. The WEO report analyses economic growth in every global region, connecting performance with key sectors, including tourism. Notably, those economies with ""large travel and tourism sectors"" show strong economic resilience and robust levels of economic activity. More specifically, countries where tourism represents a high percentage of GDP   have recorded faster recovery from the impacts of the pandemic in comparison to economies where tourism is not a significant sector."
"At a time when Pakistan is in the grip of civil unrest and the political and economic crisis, its soft power image for which the country...8 months ago",https://www.thenews.com.pk/print/1079946-where-is-pakistan-s-soft-power,"At a time when Pakistan is in the grip of civil unrest and the political and economic crisis, its soft power image for which the country struggled long and hard is at its lowest ebb. Its multicultural ethos and rich diversity is a hotspot of conflict.Pakistan stands at the 84th position in a group of 121 countries in the 2023 Global Soft Power Index by brand evaluation consultancy ‘Brand Finance’, trailing far behind the regional adversary India at 28th. In the 2023 Global Firepower Ranking, Pakistan ranks seventh out of 145 countries. This may be a consolation for a country with limited resources and a mighty army.The country needs hard power, undoubtedly, but the glaring disparity vis-a-vis soft power resources is a cause for concern domestically and internationally. The global soft power index is based on almost 40 metrics on “the quality of a country’s political institutions, the extent of their cultural appeal, the strength of their diplomatic network, the global reputation of their higher education system, the attractiveness of their economic model, and a country’s digital engagement with the world.”Dropping from the 63rd position in 2021 to 84th in 2023 is indeed a downward slide. American political scientist Joseph Nye, who is a proponent of soft power, has summed up these various metrics into three basic resources of soft power: political ideals, culture and foreign policy. He defines soft power as the “ability to get what you want through attraction rather than coercion.”Since post-cold war Western countries have used soft power resources strategically to enhance their global position and achieve their desired foreign policy objectives. The US is considered the bastion of soft power with its liberal democratic order and cultural exports – from Hollywood movies to Madonna and from Google to Harvard and Coca Cola to McDonald’s.American artists and musicians have acted as cultural ambassadors during peace and pandemics. China has also utilized its soft power image, blending its cultural and commercial appeal. With its Confucius institutes in 162 countries, the country sponsors educational and training programmes for foreign students. Despite an assertive foreign policy against the US, Taiwan, India, and Hong Kong, the soft power image of China could not erode owing to its massive commercial appeal through multi-trillion dollar infrastructure and investment projects in Asia, Pacific, America and Africa.India is making waves through Bollywood movies, music, Silicon Valley and its thriving tourism. South Korea is sweeping the world through its popular boy band BTS – which is smashing records – Oscar wins, the growing drama industry and skincare goods. By enhancing cultural attraction and promoting democratic political ideals and a strong economic model of development, a country promotes a credible image internationally using the soft power resources and positively impacts how people think or interact with them.Soft power gets into action when a country strategically taps its domestic core assets into specific foreign policy goals and establishes moral authority to get what it wants from the others.Unfortunately for Pakistan, its cultural appeal could not be enhanced around the world due to a lack of support and direction from the government. The media – including entertainment – is a dying industry and tourism and sports is stifled due to the worsening law and order situation. The political journey has been messy. The country’s fragile democracy keeps getting derailed. Civil supremacy remains the main casualty in such a political crisis. The country’s record of human rights abuses is abysmal, attracting the ire of local and international media on issues like freedom of speech, media censorship, violence against women, custodial torture, contempt of law, and targeting political opposition and journalists.Pakistan’s dire economic situation has damaged its soft power image globally. We have signed hundreds of bilateral and multilateral trade agreements with countries, but our exports are constantly shrinking, rupee devaluing, foreign currency reserves depleting, entrepreneurial genius nose-diving, and private investment dwindling. Pakistan has had 21 IMF bailouts, and yet there is no relief in sight. That Pakistan – an agrarian country – is in danger of high food insecurity like Ethiopia, Kenya and Syria as reported by the FAO-WFP report is alarming.Our foreign policy objectives are either narrow or ambiguous. We have disputes with almost all our neighbours. And this has tarnished our global image and potential trade advantage. Our public diplomacy is nonexistent and cultural diplomacy never took roots. With poor law and order, hosting of international events has been a great challenge.While the world is competing for supremacy in gaining soft power to get its desired foreign policy objectives, it is unfortunate to see how poorly we have used our national capacity to advance our priorities. Our multi-ethnic culture is hostile to others; our political credibility is eroded at home and abroad; the strength of our diplomatic network is waning; the economy is near default; and our foreign policies in the world lack legitimacy and moral authority.Pakistan has tremendous assets in the soft power area which must be developed in conjunction with hard power to augment legitimacy to the state’s power position in the global system. A strategic and sustained effort is needed by the government along with the private sector to promote cultural and public diplomacy.Social media can be used to engage, inform, and encourage participation on domestic and foreign policy fronts. Pakistan is at a critical juncture and it is time the world continued to regard us as a tolerant and pluralistic democracy with a benign international influence and an emerging economy. It’s a long and arduous journey. The work must begin, seriously and consistently.The writer holds an LLM degree ininternational economic law from the University of Warwick. She can be reached at: beelam_ramzan@yahoo.com


 Pakistan stands at the 84th position in a group of 121 countries in the 2023 Global Soft Power Index by brand evaluation consultancy ‘Brand Finance’, trailing far behind the regional adversary India at 28th. In the 2023 Global Firepower Ranking, Pakistan ranks seventh out of 145 countries. This may be a consolation for a country with limited resources and a mighty army.The country needs hard power, undoubtedly, but the glaring disparity vis-a-vis soft power resources is a cause for concern domestically and internationally. The global soft power index is based on almost 40 metrics on “the quality of a country’s political institutions, the extent of their cultural appeal, the strength of their diplomatic network, the global reputation of their higher education system, the attractiveness of their economic model, and a country’s digital engagement with the world.”Dropping from the 63rd position in 2021 to 84th in 2023 is indeed a downward slide. American political scientist Joseph Nye, who is a proponent of soft power, has summed up these various metrics into three basic resources of soft power: political ideals, culture and foreign policy. He defines soft power as the “ability to get what you want through attraction rather than coercion.”Since post-cold war Western countries have used soft power resources strategically to enhance their global position and achieve their desired foreign policy objectives. The US is considered the bastion of soft power with its liberal democratic order and cultural exports – from Hollywood movies to Madonna and from Google to Harvard and Coca Cola to McDonald’s.American artists and musicians have acted as cultural ambassadors during peace and pandemics. China has also utilized its soft power image, blending its cultural and commercial appeal. With its Confucius institutes in 162 countries, the country sponsors educational and training programmes for foreign students. Despite an assertive foreign policy against the US, Taiwan, India, and Hong Kong, the soft power image of China could not erode owing to its massive commercial appeal through multi-trillion dollar infrastructure and investment projects in Asia, Pacific, America and Africa.India is making waves through Bollywood movies, music, Silicon Valley and its thriving tourism. South Korea is sweeping the world through its popular boy band BTS – which is smashing records – Oscar wins, the growing drama industry and skincare goods. By enhancing cultural attraction and promoting democratic political ideals and a strong economic model of development, a country promotes a credible image internationally using the soft power resources and positively impacts how people think or interact with them.Soft power gets into action when a country strategically taps its domestic core assets into specific foreign policy goals and establishes moral authority to get what it wants from the others.Unfortunately for Pakistan, its cultural appeal could not be enhanced around the world due to a lack of support and direction from the government. The media – including entertainment – is a dying industry and tourism and sports is stifled due to the worsening law and order situation. The political journey has been messy. The country’s fragile democracy keeps getting derailed. Civil supremacy remains the main casualty in such a political crisis. The country’s record of human rights abuses is abysmal, attracting the ire of local and international media on issues like freedom of speech, media censorship, violence against women, custodial torture, contempt of law, and targeting political opposition and journalists.Pakistan’s dire economic situation has damaged its soft power image globally. We have signed hundreds of bilateral and multilateral trade agreements with countries, but our exports are constantly shrinking, rupee devaluing, foreign currency reserves depleting, entrepreneurial genius nose-diving, and private investment dwindling. Pakistan has had 21 IMF bailouts, and yet there is no relief in sight. That Pakistan – an agrarian country – is in danger of high food insecurity like Ethiopia, Kenya and Syria as reported by the FAO-WFP report is alarming.Our foreign policy objectives are either narrow or ambiguous. We have disputes with almost all our neighbours. And this has tarnished our global image and potential trade advantage. Our public diplomacy is nonexistent and cultural diplomacy never took roots. With poor law and order, hosting of international events has been a great challenge.While the world is competing for supremacy in gaining soft power to get its desired foreign policy objectives, it is unfortunate to see how poorly we have used our national capacity to advance our priorities. Our multi-ethnic culture is hostile to others; our political credibility is eroded at home and abroad; the strength of our diplomatic network is waning; the economy is near default; and our foreign policies in the world lack legitimacy and moral authority.Pakistan has tremendous assets in the soft power area which must be developed in conjunction with hard power to augment legitimacy to the state’s power position in the global system. A strategic and sustained effort is needed by the government along with the private sector to promote cultural and public diplomacy.Social media can be used to engage, inform, and encourage participation on domestic and foreign policy fronts. Pakistan is at a critical juncture and it is time the world continued to regard us as a tolerant and pluralistic democracy with a benign international influence and an emerging economy. It’s a long and arduous journey. The work must begin, seriously and consistently.The writer holds an LLM degree ininternational economic law from the University of Warwick. She can be reached at: beelam_ramzan@yahoo.com


 The country needs hard power, undoubtedly, but the glaring disparity vis-a-vis soft power resources is a cause for concern domestically and internationally. The global soft power index is based on almost 40 metrics on “the quality of a country’s political institutions, the extent of their cultural appeal, the strength of their diplomatic network, the global reputation of their higher education system, the attractiveness of their economic model, and a country’s digital engagement with the world.”Dropping from the 63rd position in 2021 to 84th in 2023 is indeed a downward slide. American political scientist Joseph Nye, who is a proponent of soft power, has summed up these various metrics into three basic resources of soft power: political ideals, culture and foreign policy. He defines soft power as the “ability to get what you want through attraction rather than coercion.”Since post-cold war Western countries have used soft power resources strategically to enhance their global position and achieve their desired foreign policy objectives. The US is considered the bastion of soft power with its liberal democratic order and cultural exports – from Hollywood movies to Madonna and from Google to Harvard and Coca Cola to McDonald’s.American artists and musicians have acted as cultural ambassadors during peace and pandemics. China has also utilized its soft power image, blending its cultural and commercial appeal. With its Confucius institutes in 162 countries, the country sponsors educational and training programmes for foreign students. Despite an assertive foreign policy against the US, Taiwan, India, and Hong Kong, the soft power image of China could not erode owing to its massive commercial appeal through multi-trillion dollar infrastructure and investment projects in Asia, Pacific, America and Africa.India is making waves through Bollywood movies, music, Silicon Valley and its thriving tourism. South Korea is sweeping the world through its popular boy band BTS – which is smashing records – Oscar wins, the growing drama industry and skincare goods. By enhancing cultural attraction and promoting democratic political ideals and a strong economic model of development, a country promotes a credible image internationally using the soft power resources and positively impacts how people think or interact with them.Soft power gets into action when a country strategically taps its domestic core assets into specific foreign policy goals and establishes moral authority to get what it wants from the others.Unfortunately for Pakistan, its cultural appeal could not be enhanced around the world due to a lack of support and direction from the government. The media – including entertainment – is a dying industry and tourism and sports is stifled due to the worsening law and order situation. The political journey has been messy. The country’s fragile democracy keeps getting derailed. Civil supremacy remains the main casualty in such a political crisis. The country’s record of human rights abuses is abysmal, attracting the ire of local and international media on issues like freedom of speech, media censorship, violence against women, custodial torture, contempt of law, and targeting political opposition and journalists.Pakistan’s dire economic situation has damaged its soft power image globally. We have signed hundreds of bilateral and multilateral trade agreements with countries, but our exports are constantly shrinking, rupee devaluing, foreign currency reserves depleting, entrepreneurial genius nose-diving, and private investment dwindling. Pakistan has had 21 IMF bailouts, and yet there is no relief in sight. That Pakistan – an agrarian country – is in danger of high food insecurity like Ethiopia, Kenya and Syria as reported by the FAO-WFP report is alarming.Our foreign policy objectives are either narrow or ambiguous. We have disputes with almost all our neighbours. And this has tarnished our global image and potential trade advantage. Our public diplomacy is nonexistent and cultural diplomacy never took roots. With poor law and order, hosting of international events has been a great challenge.While the world is competing for supremacy in gaining soft power to get its desired foreign policy objectives, it is unfortunate to see how poorly we have used our national capacity to advance our priorities. Our multi-ethnic culture is hostile to others; our political credibility is eroded at home and abroad; the strength of our diplomatic network is waning; the economy is near default; and our foreign policies in the world lack legitimacy and moral authority.Pakistan has tremendous assets in the soft power area which must be developed in conjunction with hard power to augment legitimacy to the state’s power position in the global system. A strategic and sustained effort is needed by the government along with the private sector to promote cultural and public diplomacy.Social media can be used to engage, inform, and encourage participation on domestic and foreign policy fronts. Pakistan is at a critical juncture and it is time the world continued to regard us as a tolerant and pluralistic democracy with a benign international influence and an emerging economy. It’s a long and arduous journey. The work must begin, seriously and consistently.The writer holds an LLM degree ininternational economic law from the University of Warwick. She can be reached at: beelam_ramzan@yahoo.com


"
"Dr Kapotaqkhy Chanchala, freshly crowned Miss Pakistan Universal 2023, is off to represent Pakistan in the first-ever tourism pageant — Miss...7 months ago",https://www.thenews.com.pk/latest/1092017-dr-kapotaqkhy-to-represent-pakistan-at-miss-world-tourism-2023,"Dr Kapotaqkhy Chanchala, freshly crowned Miss Pakistan Universal 2023, is off to represent Pakistan in the first-ever tourism pageant — Miss World Tourism 2023 — in Sri Lanka. Prior to her departure Dr Kaotaqkhy, with overwhelmed enthusiasm, said: “I am so honoured to represent Pakistan in Sri Lanka where 40 Queens from across the world will be locked into competition.” “This is my first international pageant, and I have worked hard towards preparing the right outfits, the questions and answers as well as my talent where I will be performing on a Pakistani song. I will do my best in representing Pakistan internationally which is much needed for my country.”"
"DUBAI: The 30th edition of the Arabian Travel Market 2023 has kicked off with more than 150 countries, including Pakistan, taking part in...9 months ago",https://www.thenews.com.pk/print/1066133-pakistan-sets-up-pavilion-at-dubai-travel-tourism-exhibition,"DUBAI: The 30th edition of the Arabian Travel Market 2023 has kicked off with more than 150 countries, including Pakistan, taking part in the four-day show. Sheikh Ahmed bin Mohammed bin Rashid Al Maktoum, Second Deputy Ruler of Dubai and Chairman of the Dubai Media Council, Monday officially inaugurated the show, signaling the commencement of the Middle East’s biggest travel and tourism exhibition. Pakistan has participated for the first time in Dubai’s tourism fair, which is being held in the emirates for the past 30 years, and has established its pavilion. A 25-members’ delegation of Pakistan — led by the Advisor to Prime Minister on Tourism and Sports Awan Chaudhry — is participating in the tourism expo to showcase the rich tourism potential of the country."
